日期,最高温度,最低温度,天气,风向,风级,空气质量
2019/1/1,1℃,-10℃,晴~多云,西北风,1级,良
2019/1/2,1℃,-9℃,多云,东北风,1级,良
2019/1/3,2℃,-7℃,霾,东北风,1级,中度污染
2019/1/4,2℃,-7℃,晴,西北风,2级,优
2019/1/5,0℃,-8℃,多云,东北风,2级,优
2019/1/6,3℃,-7℃,多云,东南风,1级,良
2019/1/7,2℃,-7℃,多云,西北风,2级,良
2019/1/8,1℃,-10℃,晴,西北风,2级,优
2019/1/9,3℃,-9℃,晴,西南风,1级,良
2019/1/10,4℃,-7℃,晴~多云,西南风,1级,轻度污染
2019/1/11,5℃,-7℃,霾,东北风,1级,轻度污染
2019/1/12,6℃,-5℃,霾,西南风,1级,重度污染
2019/1/13,6℃,-7℃,晴,东北风,1级,中度污染
2019/1/14,6℃,-8℃,霾~晴,西北风,2级,中度污染
2019/1/15,-2℃,-10℃,晴,西北风,3级,良
2019/1/16,2℃,-8℃,晴,西南风,1级,良
2019/1/17,5℃,-9℃,晴,西北风,1级,良
2019/1/18,6℃,-6℃,霾~多云,东北风,1级,良
2019/1/19,3℃,-6℃,多云,东北风,2级,优
2019/1/20,5℃,-7℃,晴,西北风,2级,优
2019/1/21,8℃,-4℃,晴,西北风,2级,良
2019/1/22,10℃,-3℃,晴,西北风,2级,良
2019/1/23,8℃,-6℃,晴,东北风,2级,优
2019/1/24,5℃,-5℃,多云,东北风,1级,良
2019/1/25,5℃,-6℃,晴,东北风,2级,优
2019/1/26,5℃,-5℃,晴~多云,东南风,1级,优
2019/1/27,7℃,-4℃,多云~晴,西北风,2级,良
2019/1/28,6℃,-4℃,晴~多云,西北风,1级,优
2019/1/29,7℃,-4℃,多云,东南风,1级,轻度污染
2019/1/30,5℃,-7℃,多云,东北风,3级,良
2019/1/31,2℃,-8℃,多云,西北风,2级,优
2019/2/1,6℃,-5℃,晴~多云,西南风,1级,良
2019/2/2,3℃,-4℃,多云,东北风,1级,轻度污染
2019/2/3,8℃,-7℃,多云~晴,西北风,2级,轻度污染
2019/2/4,4℃,-6℃,多云~晴,东北风,1级,良
2019/2/5,5℃,-5℃,晴~霾,东南风,2级,中度污染
